VENUE,H_TEAM,LAT,LNG,LOCATION,MANUAL_ENTRY
"AT&T Center, San Antonio, TX",San Antonio Spurs,29.4270201,-98.43746519999999,"East Side, San Antonio, Bexar County, Texas, United States",False
"Accor Arena, Paris, ",Detroit Pistons,48.856614,2.3522219,"Paris, Paris, Île-de-France, France",False
"AccorHotels Arena, Paris, 12",Charlotte Hornets,48.8386038,2.3784703,"Paris, Département de Paris, Île-de-France, France",False
"AdventHealth Arena, Orlando, FL",Boston Celtics,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"AdventHealth Arena, Orlando, FL",Brooklyn Nets,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"AdventHealth Arena, Orlando, FL",Dallas Mavericks,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"AdventHealth Arena, Orlando, FL",Denver Nuggets,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"AdventHealth Arena, Orlando, FL",Houston Rockets,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"AdventHealth Arena, Orlando, FL",Indiana Pacers,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"AdventHealth Arena, Orlando, FL",LA Clippers,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"AdventHealth Arena, Orlando, FL",Los Angeles Lakers,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"AdventHealth Arena, Orlando, FL",Memphis Grizzlies,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"AdventHealth Arena, Orlando, FL",Miami Heat,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"AdventHealth Arena, Orlando, FL",Milwaukee Bucks,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"AdventHealth Arena, Orlando, FL",Oklahoma City Thunder,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"AdventHealth Arena, Orlando, FL",Orlando Magic,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"AdventHealth Arena, Orlando, FL",Phoenix Suns,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"AdventHealth Arena, Orlando, FL",Portland Trail Blazers,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"AdventHealth Arena, Orlando, FL",Sacramento Kings,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"AdventHealth Arena, Orlando, FL",Toronto Raptors,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"AdventHealth Arena, Orlando, FL",Utah Jazz,28.3375812,-81.5563966,"Kissimmee, Osceola County, Florida, United States",False
"Air Canada Centre, Toronto, ON",Toronto Raptors,43.6434661,-79.3790989,"Old Toronto, Toronto, Toronto, Toronto, Ontario, Canada",False
"Alamodome, San Antonio, TX",San Antonio Spurs,29.4169834,-98.4788143,"Downtown, San Antonio, Bexar County, Texas, United States",False
"Amalie Arena, Tampa, FL",Toronto Raptors,27.9427373,-82.4517771,"Downtown, Tampa, Hillsborough County, Florida, United States",False
"American Airlines Center, Dallas, TX",Dallas Mavericks,32.7903908,-96.8102547,"Victory Park, Dallas, Dallas County, Texas, United States",False
"AmericanAirlines Arena, Miami, FL",Miami Heat,25.7814014,-80.18696899999999,"Downtown Miami, Miami, Miami-Dade County, Florida, United States",False
"Amway Arena, Orlando, FL",Orlando Magic,28.5392214,-81.3838535,"Parramore, Orlando, Orange County, Florida, United States",False
"Amway Center, Orlando, FL",Orlando Magic,28.5392214,-81.3838535,"Parramore, Orlando, Orange County, Florida, United States",False
"Arena Ciudad de Mexico, Mexico City, Mexico, ",Detroit Pistons,19.49772,-99.17513799999999,"Santa Barbara, Ciudad de México, Ciudad de México, Mexico",False
"Arena Ciudad de Mexico, Mexico City, Mexico, ",Orlando Magic,19.49772,-99.17513799999999,"Santa Barbara, Ciudad de México, Ciudad de México, Mexico",False
"Arena Ciudad de Mexico, Mexico City, Mexico, ",Phoenix Suns,19.49772,-99.17513799999999,"Santa Barbara, Ciudad de México, Ciudad de México, Mexico",False
"BMO Harris Bradley Center, Milwaukee, WI",Milwaukee Bucks,43.0389025,-87.9064736,"Milwaukee, Milwaukee County, Wisconsin, United States",False
"Ball Arena, Denver, CO",Denver Nuggets,39.7486519,-105.0075988,"Auraria, Denver, Denver County, Colorado, United States",False
"Bankers Life Fieldhouse, Indianapolis, IN",Indiana Pacers,39.7640434,-86.1555367,"Wholesale District, Indianapolis, Center Township, Marion County, Indiana, United States",False
"Barclays Center, Brooklyn, NY",Brooklyn Nets,40.6826465,-73.97541559999999,"Prospect Heights, Brooklyn, Kings County, New York, United States",False
"Capital One Arena, Washington, DC",Washington Wizards,38.8981675,-77.02085679999999,"Northwest Washington, Washington, District of Columbia, United States",False
"Chase Center, San Francisco, CA",Golden State Warriors,37.7680183,-122.3878772,"Mission Bay, San Francisco, San Francisco County, California, United States",False
"Chesapeake Energy Arena, Oklahoma City, OK",New Orleans/Oklahoma City Hornets,35.4634247,-97.5151138,"Central Oklahoma City, Oklahoma City, Oklahoma County, Oklahoma, United States",False
"Chesapeake Energy Arena, Oklahoma City, OK",Oklahoma City Thunder,35.4634247,-97.5151138,"Central Oklahoma City, Oklahoma City, Oklahoma County, Oklahoma, United States",False
"Compaq Center, Houston, TX",Houston Rockets,29.7604267,-95.3698028,"Houston, Harris County, Texas, United States",False
"Crypto.com Arena, Los Angeles, CA",LA Clippers,34.0430175,-118.2672541,"Downtown Los Angeles, Los Angeles, Los Angeles County, California, United States",False
"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,34.0430175,-118.2672541,"Downtown Los Angeles, Los Angeles, Los Angeles County, California, United States",False
"ESPN Wide World of Sports Complex, Orlando, FL",Miami Heat,28.3381102,-81.5563845,"Orlando, Osceola County, Florida, United States",False
"EnergySolutions Arena, Salt Lake City, UT",Utah Jazz,40.7682681,-111.9010874,"Rio Grande, Salt Lake City, Salt Lake County, Utah, United States",False
"FTX Arena, Miami, FL",Miami Heat,25.7814014,-80.18696899999999,"Downtown Miami, Miami, Miami-Dade County, Florida, United States",False
"FedExForum, Memphis, TN",Memphis Grizzlies,35.1381418,-90.0505864,"Downtown Memphis, Memphis, Shelby County, Tennessee, United States",False
"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,43.0450802,-87.9173862,"Westown, Milwaukee, Milwaukee County, Wisconsin, United States",False
"Footprint Center, Phoenix, AZ",Phoenix Suns,33.445737,-112.0712003,"Central City, Phoenix, Maricopa County, Arizona, United States",False
"GM Place, Vancouver, BC",Vancouver Grizzlies,49.2778358,-123.1088227,"Central Vancouver, Vancouver, Metro Vancouver, British Columbia, Canada",False
"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,39.7640434,-86.1555367,"Wholesale District, Indianapolis, Center Township, Marion County, Indiana, United States",False
"Golden 1 Center, Sacramento, CA",Sacramento Kings,38.5802045,-121.4996602,"Downtown, Sacramento, Sacramento County, California, United States",False
